order_id;date;day;day_time;month;year;time;hour
1;01/01/2022;Sab;01;Jan;2022;11.38.36;11
2;01/01/2022;Sab;01;Jan;2022;11.57.40;11
3;01/01/2022;Sab;01;Jan;2022;12.12.28;12
4;01/01/2022;Sab;01;Jan;2022;12.16.31;12
5;01/01/2022;Sab;01;Jan;2022;12.21.30;12
6;01/01/2022;Sab;01;Jan;2022;12.29.36;12
7;01/01/2022;Sab;01;Jan;2022;12.50.37;12
8;01/01/2022;Sab;01;Jan;2022;12.51.37;12
9;01/01/2022;Sab;01;Jan;2022;12.52.01;12
10;01/01/2022;Sab;01;Jan;2022;13.00.15;13
11;01/01/2022;Sab;01;Jan;2022;13.02.59;13
12;01/01/2022;Sab;01;Jan;2022;13.04.41;13
13;01/01/2022;Sab;01;Jan;2022;13.11.55;13
14;01/01/2022;Sab;01;Jan;2022;13.14.19;13
15;01/01/2022;Sab;01;Jan;2022;13.33.00;13
16;01/01/2022;Sab;01;Jan;2022;13.34.07;13
17;01/01/2022;Sab;01;Jan;2022;13.53.00;13
18;01/01/2022;Sab;01;Jan;2022;13.57.08;13
19;01/01/2022;Sab;01;Jan;2022;13.59.09;13
20;01/01/2022;Sab;01;Jan;2022;14.03.08;14
21;01/01/2022;Sab;01;Jan;2022;14.14.29;14
22;01/01/2022;Sab;01;Jan;2022;14.16.26;14
23;01/01/2022;Sab;01;Jan;2022;14.19.03;14
24;01/01/2022;Sab;01;Jan;2022;14.23.01;14
25;01/01/2022;Sab;01;Jan;2022;14.44.44;14
26;01/01/2022;Sab;01;Jan;2022;14.54.26;14
27;01/01/2022;Sab;01;Jan;2022;15.11.17;15
28;01/01/2022;Sab;01;Jan;2022;15.35.46;15
29;01/01/2022;Sab;01;Jan;2022;15.41.01;15
30;01/01/2022;Sab;01;Jan;2022;15.41.25;15
31;01/01/2022;Sab;01;Jan;2022;15.50.18;15
32;01/01/2022;Sab;01;Jan;2022;15.53.18;15
33;01/01/2022;Sab;01;Jan;2022;15.54.08;15
34;01/01/2022;Sab;01;Jan;2022;16.21.21;16
35;01/01/2022;Sab;01;Jan;2022;16.32.04;16
36;01/01/2022;Sab;01;Jan;2022;16.54.09;16
37;01/01/2022;Sab;01;Jan;2022;16.56.09;16
38;01/01/2022;Sab;01;Jan;2022;17.03.00;17
39;01/01/2022;Sab;01;Jan;2022;17.07.23;17
40;01/01/2022;Sab;01;Jan;2022;17.14.36;17
41;01/01/2022;Sab;01;Jan;2022;17.15.20;17
42;01/01/2022;Sab;01;Jan;2022;17.28.09;17
43;01/01/2022;Sab;01;Jan;2022;17.38.34;17
