"NAME";"team";"tot_medal";"ranking"
"Michael Fred Phelps, II";"United States";"23";"1"
"Raymond Clarence ""Ray"" Ewry";"United States";"10";"2"
"Mark Andrew Spitz";"United States";"9";"3"
"Frederick Carlton ""Carl"" Lewis";"United States";"9";"3"
"Larysa Semenivna Latynina (Diriy-)";"Soviet Union";"9";"3"
"Paavo Johannes Nurmi";"Finland";"9";"3"
"Usain St. Leo Bolt";"Jamaica";"8";"4"
"Sawao Kato";"Japan";"8";"4"
"Ole Einar Bjrndalen";"Norway";"8";"4"
"Matthew Nicholas ""Matt"" Biondi";"United States";"8";"4"
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)";"United States";"8";"4"
"Donald Arthur ""Don"" Schollander";"United States";"7";"5"
"Nikolay Yefimovich Andrianov";"Soviet Union";"7";"5"
"Borys Anfiyanovych Shakhlin";"Soviet Union";"7";"5"
"Aladr Gerevich (-Gerei)";"Hungary";"7";"5"
"Viktor Ivanovych Chukarin";"Soviet Union";"7";"5"
"Vra slavsk (-Odloilov)";"Czechoslovakia";"7";"5"
