"games";"country";"tot_Gold_medals";"tot_Silver_medals";"tot_Bronze_medals"
"1896 Summer";"Germany";"25";"2";"1"
"1896 Summer";"USA";"11";"1";"1"
"1896 Summer";"Greece";"10";"1";"1"
"1896 Summer";"France";"5";"1";"1"
"1896 Summer";"UK";"3";"1";"1"
"1896 Summer";"Austria";"2";"1";"1"
"1896 Summer";"Hungary";"2";"1";"1"
"1896 Summer";"Australia";"2";"1";"1"
"1896 Summer";"Denmark";"1";"1";"1"
"1896 Summer";"Switzerland";"1";"1";"1"
"1900 Summer";"UK";"59";"1";"1"
"1900 Summer";"France";"52";"1";"1"
"1900 Summer";"USA";"30";"1";"1"
"1900 Summer";"Switzerland";"16";"1";"1"
"1900 Summer";"Germany";"14";"2";"1"
"1900 Summer";"Belgium";"6";"1";"1"
"1900 Summer";"Denmark";"4";"1";"1"
"1900 Summer";"Netherlands";"3";"1";"1"
"1900 Summer";"Australia";"3";"1";"1"
"1900 Summer";"Sweden";"3";"1";"1"
"1900 Summer";"Italy";"3";"1";"1"
"1900 Summer";"Spain";"2";"1";"1"
"1900 Summer";"Hungary";"1";"1";"1"
"1900 Summer";"New Zealand";"1";"1";"1"
"1900 Summer";"Canada";"1";"1";"1"
"1900 Summer";"Cuba";"1";"1";"4"
"1900 Summer";"Haiti";"1";"1";"5"
"1904 Summer";"USA";"128";"1";"1"
"1904 Summer";"Canada";"27";"1";"1"
"1904 Summer";"Cuba";"5";"1";"4"
"1904 Summer";"Germany";"4";"2";"1"
"1904 Summer";"Austria";"2";"1";"1"
"1904 Summer";"Hungary";"2";"1";"1"
"1904 Summer";"Norway";"2";"1";"1"
"1904 Summer";"UK";"1";"1";"1"
"1904 Summer";"Switzerland";"1";"1";"1"
"1904 Summer";"Greece";"1";"1";"1"
"1906 Summer";"Greece";"24";"1";"1"
"1906 Summer";"Italy";"21";"1";"1"
"1906 Summer";"Norway";"20";"1";"1"
"1906 Summer";"France";"20";"1";"1"
"1906 Summer";"Germany";"14";"2";"1"
"1906 Summer";"Denmark";"14";"1";"1"
"1906 Summer";"USA";"12";"1";"1"
"1906 Summer";"UK";"9";"1";"1"
"1906 Summer";"Switzerland";"8";"1";"1"
"1906 Summer";"Hungary";"5";"1";"1"
"1906 Summer";"Austria";"3";"1";"1"
"1906 Summer";"Sweden";"2";"1";"1"
"1906 Summer";"Finland";"2";"1";"1"
"1906 Summer";"Belgium";"2";"1";"1"
"1906 Summer";"Canada";"1";"1";"1"
"1908 Summer";"UK";"147";"1";"1"
"1908 Summer";"Sweden";"48";"1";"1"
"1908 Summer";"USA";"34";"1";"1"
"1908 Summer";"Australia";"15";"1";"1"
"1908 Summer";"Canada";"14";"1";"1"
"1908 Summer";"France";"12";"1";"1"
"1908 Summer";"Norway";"7";"1";"1"
"1908 Summer";"Hungary";"7";"1";"1"
"1908 Summer";"Germany";"4";"2";"1"
